pressure: 1012.59, temp: 27.6632
pressure: 1012.25, temp: 27.6284
pressure: 1013.0, temp: 23.8659
pressure: 1013.77, temp: 23.8485
pressure: 1014.25, temp: 23.8136
pressure: 1013.95, temp: 23.7962
pressure: 1013.85, temp: 23.744
pressure: 1013.76, temp: 23.6917
pressure: 1013.87, temp: 23.6046
pressure: 1013.88, temp: 23.4652
pressure: 1014.07, temp: 23.2736
pressure: 1013.99, temp: 23.082
pressure: 1014.02, temp: 22.8033
pressure: 1013.71, temp: 22.4898
pressure: 1013.95, temp: 22.1763
pressure: 1013.61, temp: 21.8453
pressure: 1013.95, temp: 21.4447
pressure: 1013.78, temp: 21.0615
pressure: 1013.98, temp: 20.5911
pressure: 1013.62, temp: 20.1034
pressure: 1014.09, temp: 19.6327
pressure: 1013.89, temp: 19.0906
pressure: 1013.99, temp: 18.5644
pressure: 1014.04, temp: 18.0189
pressure: 1013.76, temp: 17.4362
pressure: 1014.31, temp: 16.8693
pressure: 1014.05, temp: 16.3006
pressure: 1013.91, temp: 15.6584
pressure: 1013.84, temp: 15.0498
pressure: 1013.73, temp: 14.4211
pressure: 1013.9, temp: 13.8082
pressure: 1014.07, temp: 13.1932
pressure: 1013.74, temp: 12.5942
pressure: 1013.93, temp: 11.9932
pressure: 1013.58, temp: 11.3903
pressure: 1014.02, temp: 10.7853
pressure: 1013.66, temp: 10.1784
pressure: 1013.86, temp: 9.58794
pressure: 1013.49, temp: 8.97708
pressure: 1013.7, temp: 8.40141
pressure: 1013.84, temp: 7.78668
pressure: 1014.05, temp: 7.20738
pressure: 1013.77, temp: 6.51366
pressure: 1013.74, temp: 5.81744
pressure: 1014.26, temp: 5.26999
pressure: 1013.8, temp: 4.75892
pressure: 1013.78, temp: 4.2085
pressure: 1014.02, temp: 3.78992
pressure: 1013.58, temp: 3.56122
pressure: 1013.88, temp: 3.44678
pressure: 1013.95, temp: 3.35135
pressure: 1013.88, temp: 3.31318
pressure: 1013.84, temp: 3.29408
pressure: 1013.84, temp: 3.4277
pressure: 1013.84, temp: 3.56122
pressure: 1014.06, temp: 3.54215
pressure: 1013.85, temp: 3.16038
pressure: 1014.14, temp: 2.64382
pressure: 1014.29, temp: 2.31789
pressure: 1014.37, temp: 2.08751
pressure: 1014.55, temp: 1.91454
pressure: 1014.95, temp: 1.72219
pressure: 1014.87, temp: 1.54891
pressure: 1016.56, temp: 1.35621
pressure: 1016.55, temp: 1.22122
pressure: 1016.81, temp: 1.08612
pressure: 1017.57, temp: 0.950947
pressure: 1018.63, temp: 0.835004
pressure: 1019.69, temp: 0.719
pressure: 1020.01, temp: 0.622278
pressure: 1021.36, temp: 0.52551
pressure: 1023.01, temp: 0.448066
pressure: 1025.12, temp: 0.351216
pressure: 1027.31, temp: 0.293085
pressure: 1030.53, temp: 0.234937
pressure: 1032.72, temp: 0.176773
pressure: 1036.19, temp: 0.118587
pressure: 1039.19, temp: 0.0797946
pressure: 1042.18, temp: 0.0409894
pressure: 1045.39, temp: -0.0172296
pressure: 1049.67, temp: -0.0560532
pressure: 1052.95, temp: -0.0754651
pressure: 1057.44, temp: -0.133717
pressure: 1062.48, temp: -0.172563
pressure: 1065.51, temp: -0.191991
pressure: 1068.84, temp: -0.191991
pressure: 1046.0, temp: -0.094884
pressure: 1019.43, temp: -0.0754651
pressure: 1015.55, temp: -0.094884
pressure: 1017.31, temp: -0.1143
pressure: 1019.39, temp: -0.094884
pressure: 1029.63, temp: -0.094884
pressure: 1037.09, temp: -0.0754651
pressure: 1045.79, temp: -0.0754651
pressure: 1055.73, temp: -0.094884
pressure: 1060.08, temp: -0.094884
pressure: 1071.08, temp: -0.094884
pressure: 1052.44, temp: -0.0754651
pressure: 1070.1, temp: -0.0754651
pressure: 1083.92, temp: -0.0754651
pressure: 1031.5, temp: -0.0560532
pressure: 1052.48, temp: -0.0560532
pressure: 1071.93, temp: -0.0560532
pressure: 1038.92, temp: -0.0560532
pressure: 1065.02, temp: -0.0560532
pressure: 1085.97, temp: -0.0754651
pressure: 1099.53, temp: -0.0754651
pressure: 1104.61, temp: -0.094884
pressure: 1124.31, temp: -0.094884
pressure: 1119.45, temp: -0.094884
pressure: 1134.29, temp: -0.094884
pressure: 1151.39, temp: -0.1143
pressure: 1025.1, temp: -0.0560532
pressure: 1043.74, temp: -0.0754651
pressure: 1092.07, temp: -0.094884
pressure: 1126.32, temp: -0.1143
pressure: 1154.93, temp: -0.133717
pressure: 1027.15, temp: -0.0560532
pressure: 1038.66, temp: -0.0560532
pressure: 1037.38, temp: -0.0560532
pressure: 1042.97, temp: -0.0754651
pressure: 1056.54, temp: -0.0754651
pressure: 1034.06, temp: -0.0560532
pressure: 1042.72, temp: -0.0754651
pressure: 1045.53, temp: -0.0754651
pressure: 1043.74, temp: -0.0754651
pressure: 1046.3, temp: -0.0754651
pressure: 1037.34, temp: -0.0754651
pressure: 1051.89, temp: -0.094884
pressure: 1056.28, temp: -0.0754651
pressure: 1047.84, temp: -0.0754651
pressure: 1062.89, temp: -0.094884
pressure: 1040.93, temp: -0.0754651
pressure: 1054.45, temp: -0.094884
pressure: 1051.67, temp: -0.0754651
pressure: 1037.34, temp: -0.0754651
pressure: 1030.18, temp: -0.0754651
pressure: 1035.04, temp: -0.0754651
pressure: 1041.4, temp: -0.094884
pressure: 1113.52, temp: -0.1143
pressure: 1210.92, temp: -0.153141
pressure: 1297.26, temp: -0.211415
pressure: 1369.35, temp: -0.230842
pressure: 1407.67, temp: -0.250275
pressure: 1040.63, temp: -0.094884
pressure: 1040.89, temp: -0.094884
pressure: 1049.84, temp: -0.094884
pressure: 1057.26, temp: -0.094884
pressure: 1057.52, temp: -0.094884
pressure: 1046.0, temp: -0.094884
pressure: 1052.62, temp: -0.1143
pressure: 1062.34, temp: -0.1143
pressure: 1077.44, temp: -0.1143
pressure: 1093.78, temp: -0.133717
pressure: 1119.58, temp: -0.153141
pressure: 1140.82, temp: -0.153141
pressure: 1167.9, temp: -0.172563
pressure: 1190.11, temp: -0.191991
pressure: 1211.86, temp: -0.191991
pressure: 1229.25, temp: -0.191991
pressure: 1236.11, temp: -0.211415
pressure: 1258.84, temp: -0.230842
pressure: 1278.02, temp: -0.230842
pressure: 1293.89, temp: -0.230842
pressure: 1318.34, temp: -0.269706
pressure: 1342.95, temp: -0.250275
pressure: 1351.09, temp: -0.269706
pressure: 1363.83, temp: -0.289138
pressure: 1375.8, temp: -0.308577
pressure: 1384.95, temp: -0.328013
pressure: 1397.79, temp: -0.308577
pressure: 1412.01, temp: -0.347455
pressure: 1414.11, temp: -0.328013
pressure: 1422.55, temp: -0.328013
pressure: 1419.23, temp: -0.328013
pressure: 1417.12, temp: -0.347455
pressure: 1416.1, temp: -0.347455
pressure: 1402.8, temp: -0.347455
pressure: 1336.61, temp: -0.328013
pressure: 1429.35, temp: -0.366895
pressure: 1573.34, temp: -0.366895
pressure: 1581.52, temp: -0.366895
pressure: 1464.84, temp: -0.386336
pressure: 1439.32, temp: -0.366895
pressure: 1451.8, temp: -0.386336
pressure: 1468.88, temp: -0.405784
pressure: 1473.94, temp: -0.425229
pressure: 1495.16, temp: -0.425229
pressure: 1524.51, temp: -0.444676
pressure: 1517.23, temp: -0.48358
pressure: 1501.18, temp: -0.46413
pressure: 1476.64, temp: -0.46413
pressure: 1445.44, temp: -0.46413
pressure: 1411.69, temp: -0.46413
pressure: 1370.21, temp: -0.48358
pressure: 1317.85, temp: -0.46413
pressure: 1272.33, temp: -0.46413
pressure: 1218.89, temp: -0.46413
pressure: 1162.42, temp: -0.444676
pressure: 1115.63, temp: -0.444676
pressure: 1086.22, temp: -0.444676
pressure: 1066.75, temp: -0.46413
pressure: 1039.9, temp: -0.46413
pressure: 957.82, temp: -0.46413
pressure: 905.401, temp: -0.46413
pressure: 937.294, temp: -0.503037
pressure: 948.255, temp: -0.522491
pressure: 917.03, temp: -0.541947
pressure: 707.719, temp: -0.48358
pressure: 662.694, temp: -0.503037
pressure: 752.102, temp: -0.56141
pressure: 771.22, temp: -0.600331
pressure: 755.291, temp: -0.658736
pressure: 724.083, temp: -0.678205
pressure: 724.005, temp: -0.736627
pressure: 712.199, temp: -0.775586
pressure: 761.919, temp: -0.853521
pressure: 721.755, temp: -0.892502
pressure: 720.682, temp: -0.931491
pressure: 762.21, temp: -1.00948
pressure: 772.061, temp: -1.08751
pressure: 780.432, temp: -1.12654
pressure: 792.602, temp: -1.18509
pressure: 815.207, temp: -1.26317
pressure: 794.727, temp: -1.30223
pressure: 784.717, temp: -1.3413
pressure: 781.03, temp: -1.41944
pressure: 780.436, temp: -1.47808
pressure: 779.329, temp: -1.53672
pressure: 783.071, temp: -1.59539
pressure: 783.496, temp: -1.65407
pressure: 785.197, temp: -1.71277
pressure: 788.397, temp: -1.79106
pressure: 783.977, temp: -1.84979
pressure: 784.657, temp: -1.90854
pressure: 781.257, temp: -1.96731
pressure: 785.76, temp: -2.0261
pressure: 786.948, temp: -2.0849
pressure: 783.296, temp: -2.14372
pressure: 784.739, temp: -2.20255
pressure: 786.436, temp: -2.2614
pressure: 783.833, temp: -2.30065
pressure: 779.954, temp: -2.3399
pressure: 779.417, temp: -2.35953
pressure: 776.05, temp: -2.39879
pressure: 773.446, temp: -2.43806
pressure: 769.315, temp: -2.47733
pressure: 769.204, temp: -2.55591
pressure: 767.112, temp: -2.59521
pressure: 763.746, temp: -2.63452
pressure: 760.863, temp: -2.69349
pressure: 761.063, temp: -2.73281
pressure: 762.026, temp: -2.77214
pressure: 761.461, temp: -2.81148
pressure: 761.66, temp: -2.85082
pressure: 761.604, temp: -2.89017
pressure: 756.942, temp: -2.94923
pressure: 758.386, temp: -3.00829
pressure: 756.777, temp: -3.06736
pressure: 755.676, temp: -3.12645
pressure: 756.384, temp: -3.16586
pressure: 753.787, temp: -3.20526
pressure: 752.434, temp: -3.2644
pressure: 752.632, temp: -3.30383
pressure: 752.296, temp: -3.36299
pressure: 752.749, temp: -3.40243
pressure: 752.214, temp: -3.42216
pressure: 752.639, temp: -3.48135
pressure: 750.551, temp: -3.52082
pressure: 747.194, temp: -3.5603
pressure: 745.814, temp: -3.63929
pressure: 745.226, temp: -3.69854
pressure: 743.647, temp: -3.73804
pressure: 743.057, temp: -3.79732
pressure: 742.241, temp: -3.83685
pressure: 741.679, temp: -3.87639
pressure: 739.085, temp: -3.91593
pressure: 736.466, temp: -3.97526
pressure: 735.877, temp: -4.03461
pressure: 735.57, temp: -4.07418
pressure: 734.728, temp: -4.13356
pressure: 732.11, temp: -4.19295
pressure: 731.296, temp: -4.23254
pressure: 729.412, temp: -4.31177
pressure: 729.84, temp: -4.37121
pressure: 727.196, temp: -4.45049
pressure: 726.61, temp: -4.50997
pressure: 725.716, temp: -4.60913
pressure: 723.327, temp: -4.6885
pressure: 721.727, temp: -4.74804
pressure: 719.341, temp: -4.82746
pressure: 717.209, temp: -4.90691
pressure: 715.557, temp: -5.00625
pressure: 714.693, temp: -5.08577
pressure: 713.548, temp: -5.18519
pressure: 712.43, temp: -5.26478
pressure: 710.527, temp: -5.36429
pressure: 707.839, temp: -5.48377
pressure: 705.432, temp: -5.58338
pressure: 703.784, temp: -5.68304
pressure: 701.605, temp: -5.8027
pressure: 700.439, temp: -5.92242
pressure: 697.477, temp: -6.06216
pressure: 694.796, temp: -6.18203
pressure: 691.559, temp: -6.34195
pressure: 688.325, temp: -6.50199
pressure: 684.334, temp: -6.66213
pressure: 681.305, temp: -6.86249
pressure: 677.245, temp: -7.0831
pressure: 672.405, temp: -7.324
pressure: 666.008, temp: -7.60539
pressure: 658.009, temp: -7.96772
pressure: 649.47, temp: -8.37099
pressure: 640.87, temp: -8.83566
pressure: 633.612, temp: -9.24051
pressure: 627.319, temp: -9.68669
pressure: 621.811, temp: -10.1134
pressure: 617.561, temp: -10.5409
pressure: 613.593, temp: -10.9489
pressure: 610.4, temp: -11.3371
pressure: 606.984, temp: -11.7055
pressure: 604.05, temp: -12.095
pressure: 601.164, temp: -12.444
pressure: 598.505, temp: -12.8142
pressure: 595.872, temp: -13.1643
pressure: 593.74, temp: -13.515
pressure: 590.865, temp: -13.8662
pressure: 588.488, temp: -14.2179
pressure: 585.889, temp: -14.5494
pressure: 583.787, temp: -14.8814
pressure: 581.687, temp: -15.2139
pressure: 579.115, temp: -15.526
pressure: 577.267, temp: -15.8594
pressure: 574.924, temp: -16.1932
pressure: 573.349, temp: -16.5066
pressure: 571.527, temp: -16.8204
pressure: 568.449, temp: -17.1556
pressure: 565.867, temp: -17.4913
pressure: 563.042, temp: -17.8274
pressure: 560.219, temp: -18.164
pressure: 558.16, temp: -18.48
pressure: 555.855, temp: -18.7964
pressure: 554.311, temp: -19.092
pressure: 552.543, temp: -19.3669
pressure: 551.487, temp: -19.6633
pressure: 550.477, temp: -19.9176
pressure: 549.465, temp: -20.1722
pressure: 548.987, temp: -20.3845
